"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1924","Alberta","2016A000248","Beekeepers","Number","223","units ","0","v47857","9.1","160","","","","0"
"1924","Alberta","2016A000248","Colonies","Number","223","units ","0","v47867","9.2","0","","","","0"
"1924","Alberta","2016A000248","Average yield per colony","Pounds","254","units ","0","v47877","9.3","0","","","t","0"
"1924","Alberta","2016A000248","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47887","9.4","55","","","","0"
"1924","Alberta","2016A000248","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47897","9.5","14","","","","0"
"1924","Alberta","2016A000248","Value of natural honey and wax","Dollars","81","thousands","3","v47907","9.6","14","","","t","0"
"1924","British Columbia","2016A000259","Beekeepers","Number","223","units ","0","v47858","10.1","2410","","","","0"
"1924","British Columbia","2016A000259","Colonies","Number","223","units ","0","v47868","10.2","14600","","","","0"
"1924","British Columbia","2016A000259","Average yield per colony","Pounds","254","units ","0","v47878","10.3","46","","","t","0"
"1924","British Columbia","2016A000259","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47888","10.4","679","","","","0"
"1924","British Columbia","2016A000259","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47898","10.5","149","","","","0"
"1924","British Columbia","2016A000259","Value of natural honey and wax","Dollars","81","thousands","3","v47908","10.6","156","","","t","0"
"1925","Canada","2016A000011124","Beekeepers","Number","223","units ","0","v47849","1.1","22295","","","","0"
"1925","Canada","2016A000011124","Colonies","Number","223","units ","0","v47859","1.2","309400","","","","0"
"1925","Canada","2016A000011124","Average yield per colony","Pounds","254","units ","0","v47869","1.3","65","","","t","0"
"1925","Canada","2016A000011124","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47879","1.4","19977","","","","0"
"1925","Canada","2016A000011124","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47889","1.5","2414","","","","0"
"1925","Canada","2016A000011124","Value of natural honey and wax","Dollars","81","thousands","3","v47899","1.6","2527","","","t","0"
"1925","Prince Edward Island","2016A000211","Beekeepers","Number","223","units ","0","v47850","2.1","5","","","","0"
"1925","Prince Edward Island","2016A000211","Colonies","Number","223","units ","0","v47860","2.2","100","","","","0"
"1925","Prince Edward Island","2016A000211","Average yield per colony","Pounds","254","units ","0","v47870","2.3","25","","","t","0"
"1925","Prince Edward Island","2016A000211","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47880","2.4","2","","","","0"
"1925","Prince Edward Island","2016A000211","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47890","2.5","0","","","","0"
"1925","Prince Edward Island","2016A000211","Value of natural honey and wax","Dollars","81","thousands","3","v47900","2.6","0","","","t","0"
"1925","Nova Scotia","2016A000212","Beekeepers","Number","223","units ","0","v47851","3.1","200","","","","0"
"1925","Nova Scotia","2016A000212","Colonies","Number","223","units ","0","v47861","3.2","1250","","","","0"
"1925","Nova Scotia","2016A000212","Average yield per colony","Pounds","254","units ","0","v47871","3.3","60","","","t","0"
"1925","Nova Scotia","2016A000212","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47881","3.4","75","","","","0"
"1925","Nova Scotia","2016A000212","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47891","3.5","11","","","","0"
